date, pm25, pm10, no2
2017/11/18, 38, 14, 19
2017/11/19, 40, 13, 23
2017/11/20, 33, 22, 12
2017/11/21, 21, , 
2017/11/23, 11, 16, 17
2017/11/24, 30, 8, 13
2017/11/25, 21, 5, 5
2017/11/26, 15, 10, 18
2017/11/27, 26, 8, 19
2017/11/28, 25, 10, 13
2017/11/29, 11, 8, 14
2017/11/30, 13, 7, 9
2017/12/1, 7, 9, 16
2017/12/2, 18, 8, 9
2017/12/3, 19, 7, 13
2017/12/4, 13, 9, 21
2017/12/5, 25, 7, 21
2017/12/6, 20, 11, 27
2017/12/7, 27, 7, 11
2017/12/8, 16, 12, 22
2017/12/9, 34, 9, 18
2017/12/10, 25, 8, 15
2017/12/11, 20, 8, 16
2017/12/12, 18, 10, 26
2017/12/13, 26, 8, 17
2017/12/14, 22, 10, 23
2017/12/15, 30, 7, 8
2017/12/16, 24, 7, 9
2017/12/17, 19, 9, 17
2017/12/18, 24, 8, 9
2017/12/19, 12, 14, 11
2017/12/20, 27, 12, 14
2017/12/21, 20, 10, 18
2017/12/22, 20, 6, 13
2017/12/23, 16, 7, 11
2017/12/24, 21, 13, 21
2017/12/25, 38, 9, 13
2017/12/26, 27, 10, 19
2017/12/27, 28, 9, 15
2017/12/28, 28, 14, 27
2017/12/29, 36, 7, 7
2017/12/30, 20, , 
2017/7/1, 26, 13, 
2017/7/2, 31, 15, 17
2017/7/3, 29, 14, 10
2017/7/4, 21, 16, 8
2017/7/5, 24, 17, 12
2017/7/6, 22, 15, 9
2017/7/7, 23, 14, 8
2017/7/8, 24, 15, 10
2017/7/9, 28, 30, 14
2017/7/10, 41, 23, 12
2017/7/11, 33, 15, 15
2017/7/12, 33, 20, 8
2017/7/13, 26, 11, 7
2017/7/14, 19, 11, 6
2017/7/15, 23, 12, 7
2017/7/16, 26, 14, 13
2017/7/17, 30, 15, 13
2017/7/18, 33, 14, 12
2017/7/19, 31, 15, 11
2017/7/20, 22, 19, 14
2017/7/21, 31, 18, 10
2017/7/22, 35, 21, 10
2017/7/23, 32, 46, 14
2017/7/24, 47, 27, 9
2017/7/25, 32, 17, 7
2017/7/26, 24, 19, 7
2017/7/27, 25, 18, 8
2017/7/28, 27, 13, 4
2017/7/29, 27, 11, 8
2017/7/30, 25, 16, 6
2017/7/31, 20, 25, 13
2017/8/1, 33, 13, 16
2017/8/2, 26, 22, 17
2017/8/3, 28, 21, 9
2017/8/4, 32, 13, 10
2017/8/5, 26, 17, 10
2017/8/6, 33, 18, 11
2017/8/7, 32, 19, 8
2017/8/8, 26, 13, 13
2017/8/9, 24, 25, 14
2017/8/10, 31, 14, 11
2017/8/11, 20, 11, 8
2017/8/12, 21, 15, 10
2017/8/13, 22, 9, 7
2017/8/14, 22, 17, 13
2017/8/15, 26, 31, 19
2017/8/16, 33, 17, 15
2017/8/17, 30, 27, 16
2017/8/18, 29, 18, 10
2017/8/19, 30, 9, 8
2017/8/20, 21, 13, 13
2017/8/21, 24, 18, 16
2017/8/22, 24, 25, 13
2017/8/23, 23, 21, 11
2017/8/24, 21, 13, 7
2017/8/25, 15, 12, 10
2017/8/26, 25, 15, 12
2017/8/27, 24, 27, 18
2017/8/28, 29, 22, 16
2017/8/29, 30, 21, 10
2017/8/30, 21, 22, 11
2017/8/31, 33, 25, 11
2017/9/1, 33, 11, 4
2017/9/2, 19, 15, 5
2017/9/3, 24, 38, 15
2017/9/4, 37, 40, 21
2017/9/5, 40, 28, 24
2017/9/6, 39, , 
2017/9/11, 28, 36, 23
2017/9/12, 39, 20, 17
2017/9/13, 24, 26, 19
2017/9/14, 33, 12, 5
2017/9/15, 13, 9, 8
2017/9/16, 22, 5, 7
2017/9/17, 15, 22, 17
2017/9/18, 31, 23, 17
