date, pm25, o3, no2, so2
2017/12/9, , 7, 2, 
2017/12/10, , 11, 4, 
2017/12/11, , 11, 2, 
2017/12/12, , 12, 1, 
2017/12/13, , 14, 3, 
2017/12/14, , 10, 5, 
2017/12/15, , 8, 3, 
2017/12/16, , 12, 5, 
2017/12/17, , 10, 5, 
2017/12/18, , 12, 5, 
2017/12/19, , 13, 6, 
2017/12/20, , 13, 8, 
2017/12/21, , 9, 3, 
2017/12/22, , 9, 2, 
2017/12/23, , 8, 3, 
2017/12/24, , 9, , 
2017/12/25, , 14, 1, 
2017/12/26, , 14, 5, 
2017/12/27, , 10, 4, 
2017/12/28, , 13, 6, 
2017/12/29, , 11, 2, 
