date, pm25, pm10, no2, so2, co
2018/7/17, 61, 27, 11, , 7
2018/7/18, 74, 35, 9, , 9
2018/7/19, 97, 43, 11, , 12
2018/7/20, 112, 15, 5, , 5
2018/7/21, 54, 12, 5, , 4
2018/7/22, 34, 13, 6, , 5
2018/7/23, 40, 14, 9, , 5
2018/7/24, 48, 20, 9, , 6
2018/7/25, 56, 38, 8, , 12
2018/7/26, 97, 34, 13, , 10
2018/7/27, 95, 18, 10, , 6
2018/7/28, 56, 14, 5, , 5
2018/7/29, 47, 12, 5, , 5
2018/7/30, 32, 13, 4, , 4
2018/7/31, 28, 39, 17, , 11
2018/8/1, 91, 40, 8, , 12
2018/8/2, 102, 20, 7, , 6
2018/8/3, 62, 11, 3, , 4
2018/8/4, 33, 17, 3, , 6
2018/8/5, 53, 13, 4, , 4
2018/8/6, 45, 11, 3, , 3
2018/8/7, 23, 22, 8, , 5
2018/8/8, 52, 14, 8, , 5
2018/8/9, 41, 22, 8, , 6
2018/8/10, 50, 27, 4, , 7
2018/8/11, 64, 19, 1, , 5
2018/8/12, 42, 33, 4, , 9
2018/8/13, 82, 28, 5, , 7
2018/8/14, 65, 9, 4, , 4
2018/8/15, 25, 27, 5, , 7
2018/8/16, 63, 15, 6, , 6
2018/8/17, 42, 16, 6, , 6
2018/8/18, 42, 19, 4, , 7
2018/8/19, 51, 18, 4, , 6
2018/8/20, 43, 18, 7, , 5
2018/8/21, 51, 30, 9, , 9
2018/8/22, 79, 13, 5, , 5
2018/8/23, 39, 12, 5, , 5
2018/8/24, 41, 26, 7, , 7
2018/8/25, 64, 26, 3, , 7
2018/8/26, 64, 23, 6, , 8
2018/8/27, 60, 22, 6, , 8
2018/8/28, 55, 21, 4, , 6
2018/8/29, 50, 22, 7, , 8
2018/8/30, 58, 10, 3, , 5
2018/8/31, 33, 7, 2, , 4
2018/9/1, 19, 18, 3, , 6
2018/9/2, 53, 11, 2, , 5
2018/9/3, 30, 11, 4, , 5
2018/9/4, 33, 18, 5, , 5
2018/9/5, 35, 16, 7, , 5
2018/9/6, 36, 22, 7, , 6
2018/9/7, 52, 13, 4, , 6
2018/9/8, 36, 21, 8, , 7
2018/9/9, 54, 26, 7, , 6
2018/9/10, 64, 26, 8, , 7
2018/9/11, 64, 24, 5, , 7
2018/9/12, 55, 23, 9, , 8
2018/9/13, 55, 12, 5, , 5
2018/9/14, 24, 18, 4, , 5
2018/9/15, 39, 14, 4, , 6
2018/9/16, 39, 13, 3, , 5
2018/9/17, 30, 8, 2, , 5
2018/9/18, 16, 16, 1, , 5
2018/9/19, 27, 14, 6, , 6
2018/9/20, 34, 15, 3, , 5
2018/9/21, 36, 17, 3, , 6
2018/9/22, 36, 18, 1, , 5
2018/9/23, 37, 12, 2, , 5
2018/9/24, 27, 15, 1, , 6
2018/9/25, 38, 23, , , 7
2018/9/26, 46, 15, , , 5
2018/9/27, 31, 18, , , 6
2018/9/28, 42, 28, , , 7
2018/9/29, 72, 14, , , 6
2018/9/30, 37, 17, , , 6
2018/4/1, 24, 11, , , 3
2018/4/2, 24, 13, , , 3
2018/4/3, 19, 9, , , 3
2018/4/4, 18, 25, , , 3
2018/4/5, 37, 14, , , 3
2018/4/6, 26, 11, , , 3
2018/4/7, 23, 11, , , 3
2018/4/8, 24, 9, , , 3
2018/4/9, 19, 8, , , 3
2018/4/10, 27, 7, , , 3
2018/4/11, 22, 14, , , 6
2018/4/12, 43, 16, , , 5
2018/4/13, 43, 13, , , 4
2018/4/14, 44, 11, , , 3
2018/4/15, 15, 7, , , 3
2018/4/16, 14, 9, , , 3
2018/4/17, 22, 13, , , 4
2018/4/18, 46, 24, , , 6
2018/4/19, 65, 4, , , 3
2018/4/20, 8, 13, , , 3
2018/4/21, 18, 12, , , 5
2018/4/22, 48, 17, , , 6
2018/4/23, 50, 10, , , 4
2018/4/24, 24, 9, , , 4
2018/4/25, 27, 12, , , 6
2018/4/26, 38, , , , 
2018/4/29, 54, 10, , , 7
2018/4/30, 34, 15, , , 5
2018/5/1, 53, 22, , , 6
2018/5/2, 45, 18, , , 6
2018/5/3, 42, 15, , , 5
2018/5/4, 36, 12, , , 5
2018/5/5, 37, 10, , , 4
2018/5/6, 26, 13, , , 6
2018/5/7, 32, 12, , , 6
2018/5/8, 33, 18, , , 5
2018/5/9, 34, 25, , , 7
2018/5/10, 62, 20, , , 7
2018/5/11, 50, 14, , , 4
2018/5/12, 32, 22, , , 4
2018/5/13, 50, 16, , , 5
2018/5/14, 37, 14, , , 6
2018/5/15, 46, 16, , , 5
2018/5/16, 48, 16, , , 6
2018/5/17, 45, 16, , , 7
2018/5/18, 50, 17, , , 8
2018/5/19, 52, 13, , , 6
2018/5/20, 42, 13, , , 5
2018/5/21, 36, 11, , , 6
2018/5/22, 37, 11, , , 5
2018/5/23, 36, 10, , , 5
2018/5/24, 36, 17, , , 7
2018/5/25, 54, 16, , , 7
2018/5/26, 45, 10, , , 5
2018/5/27, 33, 8, , , 4
2018/5/28, 29, 17, , , 6
2018/5/29, 48, 17, , , 6
2018/5/30, 49, 23, , , 7
2018/5/31, 61, 19, , , 7
2018/6/1, 55, 20, , , 7
2018/6/2, 62, 12, , , 6
2018/6/3, 44, 9, , , 6
2018/6/4, 35, 10, , , 6
2018/6/5, 34, 11, , , 5
2018/6/6, 36, 13, , , 5
2018/6/7, 33, 14, , , 4
2018/6/8, 34, 28, , , 6
2018/6/9, 76, 17, , , 3
2018/6/10, 50, 18, , , 3
2018/6/11, 59, 17, , , 3
2018/6/12, 56, 7, , , 2
2018/6/13, 27, 9, , , 2
2018/6/14, 32, 11, , , 2
2018/6/15, 33, 10, , , 2
2018/6/16, 35, 14, , , 3
2018/6/17, 51, 15, , , 3
2018/6/18, 52, 10, , , 2
2018/6/19, 34, 17, , , 4
2018/6/20, 44, 31, , , 8
2018/6/21, 82, 37, , , 11
2018/6/22, 95, 42, , , 11
2018/6/23, 108, 33, , , 8
2018/6/24, 92, 26, , , 6
2018/6/25, 68, 17, , , 4
2018/6/26, 51, 34, , , 9
2018/6/27, 85, 29, , , 6
2018/6/28, 78, 34, , , 9
2018/6/29, 87, 27, , , 7
2018/6/30, 73, 27, , , 6
2018/1/1, 19, 11, , , 2
2018/1/2, 21, 12, , , 2
2018/1/3, 27, 15, , , 2
2018/1/4, 33, 5, , , 2
2018/1/5, 12, 14, , , 1
2018/1/6, 24, 16, , , 1
2018/1/7, 25, 16, , , 2
2018/1/8, 31, 23, , , 2
2018/1/9, 38, 9, , , 2
2018/1/10, 23, 5, , , 2
2018/1/11, 13, 7, , , 2
2018/1/12, 14, 10, , , 2
2018/1/13, 20, 9, , , 2
2018/1/14, 19, 21, , , 2
2018/1/15, 42, 25, , , 3
2018/1/16, 42, 21, , , 2
2018/1/17, 31, 14, , , 2
2018/1/18, 27, 9, , , 2
2018/1/19, 23, 10, , , 2
2018/1/20, 21, 8, , , 2
2018/1/21, 21, 8, , , 2
2018/1/22, 17, 8, , , 2
2018/1/23, 23, 14, , , 3
2018/1/24, 23, 14, , , 3
2018/1/25, 34, 10, , , 3
2018/1/26, 23, 8, , , 3
2018/1/27, 20, 11, , , 3
2018/1/28, 29, 12, , , 3
2018/1/29, 24, 12, , , 3
2018/1/30, 28, 14, , , 3
2018/1/31, 29, 25, , , 2
2018/2/1, 28, 6, , , 2
2018/2/2, 11, 8, , , 2
2018/2/3, 17, 11, , , 2
2018/2/4, 21, 7, , , 2
2018/2/5, 15, 11, , , 2
2018/2/6, 17, 10, , , 2
