date, pm25, pm10, no2, so2, co
2018/12/28, , , 38, , 
2018/12/29, , , 37, , 
2018/12/30, , , 29, , 
2018/7/15, , , 28, , 
2018/7/16, , , 31, , 
2018/7/17, , , 20, , 
2018/7/18, , , 26, , 
2018/7/19, , , 31, , 
2018/7/20, , , 34, , 
2018/7/21, , , 23, , 
2018/7/22, , , 21, , 
2018/7/23, , , 20, , 
2018/7/24, , , 16, , 
2018/7/25, , , 16, , 
2018/7/26, , , 24, , 
2018/7/27, , , 27, , 
2018/7/28, , , 18, , 
2018/7/29, , , 19, , 
2018/7/30, , , 27, , 
2018/7/31, , , 30, , 
2018/8/1, , , 26, , 
2018/8/2, , , 30, , 
2018/8/3, , , 26, , 
2018/8/4, , , 18, , 
2018/8/5, , , 20, , 
2018/8/6, , , 27, , 
2018/8/7, , , 26, , 
2018/8/8, , , 25, , 
2018/8/9, , , 27, , 
2018/8/10, , , 24, , 
2018/8/11, , , 27, , 
2018/8/12, , , 25, , 
2018/8/13, , , 28, , 
2018/8/14, , , 18, , 
2018/8/15, , , 12, , 
2018/8/16, , , 15, , 
2018/8/17, , , 24, , 
2018/8/19, , , 18, , 
2018/8/20, , , 18, , 
2018/8/21, , , 18, , 
2018/8/22, , , 21, , 
2018/8/23, , , 23, , 
2018/8/24, , , 23, , 
2018/8/25, , , 21, , 
2018/8/26, , , 16, , 
2018/8/27, , , 10, , 
2018/8/28, , , 22, , 
2018/8/29, , , 25, , 
2018/8/30, , , 26, , 
2018/8/31, , , 29, , 
2018/9/1, , , 21, , 
2018/9/2, , , 21, , 
2018/9/3, , , 33, , 
2018/9/4, , , 28, , 
2018/9/5, , , 24, , 8
2018/9/29, , , 13, , 
2018/9/30, , , 21, , 
2018/4/15, , , 18, , 
2018/4/16, , , 4, , 
2018/5/22, , , 25, , 
2018/5/23, , , 30, , 
2018/5/24, , , 39, , 
2018/5/25, , , 34, , 
2018/5/26, , , 40, , 
2018/5/27, , , 43, , 
2018/5/28, , , 46, , 
2018/5/29, , , 46, , 
2018/5/30, , , 34, , 
2018/5/31, , , 35, , 
2018/6/1, , , 31, , 
2018/6/2, , , 39, , 
2018/6/3, , , 38, , 
2018/6/4, , , 25, , 
2018/6/7, , , 31, , 
2018/6/8, , , 23, , 
2018/6/9, , , 9, , 
2018/6/10, , , 4, , 
2018/6/11, , , 21, , 
2018/6/12, , , 22, , 
2018/6/13, , , 15, , 
2018/6/14, , , 22, , 
2018/6/15, , , 18, , 
2018/6/16, , , 25, , 
2018/6/17, , , 35, , 
2018/6/18, , , 15, , 
2018/6/19, , , 26, , 
2018/6/20, , , 37, , 
2018/6/21, , , 32, , 
2018/6/22, , , 12, , 
2018/6/23, , , 22, , 
2018/6/24, , , 31, , 
2018/6/25, , , 15, , 
2018/3/15, , , 38, , 
2018/3/16, , , 24, , 
2018/3/17, , , 22, , 
2018/3/18, , , 25, , 
2018/3/19, , , 31, , 
2018/3/20, , , 30, , 
2018/3/21, , , 22, , 
2018/3/22, , , 27, , 
2018/3/23, , , 29, , 
2018/3/24, , , 23, , 
2018/3/25, , , 17, , 
2018/3/26, , , 27, , 
2018/3/27, , , 33, , 
2018/3/28, , , 38, , 
2018/3/29, , , 24, , 
