date, pm25, o3, so2, co
2017/11/9, 41, 24, , 1
2017/11/10, 20, 21, 1, 1
2017/11/11, 31, 16, , 1
2017/11/12, 61, 25, , 1
2017/11/13, 59, 24, 1, 1
2017/11/14, 50, 22, , 1
2017/11/15, 38, 14, , 1
2017/11/16, 35, 14, , 1
2017/11/17, 47, 20, , 1
2017/11/18, 39, 23, , 1
2017/11/19, 38, 24, , 1
2017/11/20, 28, 21, 1, 1
2017/11/21, 38, 23, , 1
2017/11/22, 28, 22, 1, 1
2017/11/23, 32, 23, 2, 1
2017/11/24, 37, 25, , 1
2017/11/25, 28, 23, 2, 1
2017/11/26, 26, 27, 2, 1
2017/11/27, 44, 28, , 1
2017/11/28, 32, 21, , 1
2017/11/29, 28, 22, , 1
2017/11/30, 39, 25, , 1
2017/12/1, 34, 24, 2, 1
2017/12/2, 41, 27, 2, 1
