date, pm25, pm10, o3, so2, co
2018/6/27, 82, 25, 9, 5, 
2018/6/28, 69, 33, 6, 5, 
2018/6/29, 83, 19, 8, 4, 
2018/6/30, 47, 9, 7, 3, 
2018/1/1, 43, 16, 21, 2, 
2018/1/2, 41, 32, 11, 7, 
2018/1/3, 78, 44, 21, 13, 
2018/1/4, 103, 26, 9, 9, 
2018/1/5, 60, 14, 18, 1, 
2018/1/6, 41, 10, 19, 7, 
2018/1/7, 32, 17, 18, 3, 
2018/1/8, 49, 18, 17, 11, 
2018/1/9, 36, 19, 19, , 
2018/1/10, 44, 13, 20, 5, 
2018/1/11, 28, 12, 19, , 
2018/1/12, 30, 15, 22, 5, 
2018/1/13, 50, 9, 5, , 
2018/1/14, 37, 12, 14, 2, 
2018/1/15, 46, 9, 15, 9, 
2018/1/16, 34, 21, 17, , 
2018/1/17, 58, 21, 31, 5, 
2018/1/18, 55, 24, 24, 1, 
2018/1/19, 64, 7, 16, 2, 
2018/1/20, 22, 125, 23, 1, 
2018/1/21, 39, 87, 16, 1, 
2018/1/22, 78, 20, 19, 3, 
2018/1/23, 57, 22, 11, 2, 
2018/1/24, 57, 23, 10, 2, 
2018/1/25, 61, 21, 13, 3, 
2018/1/26, 57, 13, 14, 5, 
2018/1/27, 44, 14, 18, 2, 
2018/1/28, 49, 18, 17, 2, 
2018/1/29, 56, 20, 16, 10, 
2018/1/30, 66, 12, 16, 5, 
2018/1/31, 44, 19, 15, 2, 
2018/2/1, 62, 40, 16, 6, 
2018/2/2, 104, 13, 10, 1, 
2018/2/3, 42, 13, 15, , 
2018/2/4, 45, 14, 15, 7, 
2018/2/5, 52, 17, 22, 2, 
2018/2/6, 56, 16, 38, 2, 
2018/2/7, 49, 23, 33, 19, 
2018/2/8, 63, 19, 19, 2, 
2018/2/9, 59, 27, 9, , 
2018/2/10, 80, , , , 
2018/2/12, 40, 7, 17, 2, 
2018/2/13, 28, 14, 18, 7, 
2018/2/14, 46, 20, 14, 5, 
2018/2/15, 62, 30, 14, 4, 
2018/2/16, 80, 11, 16, 4, 
2018/2/17, 41, 12, 11, 7, 
2018/2/18, 45, 15, 19, 3, 
2018/2/19, 44, 20, 17, 1, 
2018/2/20, 59, 17, 10, , 
2018/2/21, 59, 22, 20, 1, 
2018/2/22, 73, 19, 22, 5, 
2018/2/23, 63, 17, 13, , 
2018/2/24, 58, 7, 13, , 
2018/2/25, 29, 9, 14, 1, 
2018/2/26, 33, 12, 15, 1, 
2018/2/27, 40, 13, 14, , 
2018/2/28, 46, 12, 13, 1, 
2018/3/1, 46, 20, 15, 1, 
2018/3/2, 65, 12, 20, 8, 
2018/3/3, 46, 7, 17, 5, 
2018/3/4, 29, 34, 12, 1, 
2018/3/5, 93, 24, 11, , 
2018/3/6, 71, 26, 25, 7, 
2018/3/7, 80, 15, 18, 8, 
2018/3/8, 39, 15, 16, 6, 
