date, pm10, no2, so2
2018/1/12, 22, 7, 
2018/1/13, 22, 3, 
2018/1/14, 18, 6, 
2018/1/15, 16, 4, 
2018/1/16, 8, 3, 
2018/1/17, 6, 6, 
2018/1/18, 6, 7, 
2018/1/19, 8, 8, 
2018/1/20, 12, 12, 
2018/1/21, 16, 8, 
2018/1/22, 14, 10, 
2018/1/23, 13, 5, 
2018/1/24, 9, 5, 
2018/1/25, 4, 9, 
2018/1/26, 15, 7, 
2018/1/27, 17, 4, 
2018/1/28, 11, 2, 
2018/1/29, 6, 4, 
2018/1/30, 8, 6, 
2018/1/31, 15, 5, 
2018/2/1, 5, 6, 
2018/2/2, 10, 5, 
2018/2/3, 9, 4, 
2018/2/4, 8, 10, 
2018/2/5, 8, 12, 
2018/2/6, 11, 17, 
2018/2/7, 19, 13, 
2018/2/8, 29, 14, 
2018/2/9, 49, 13, 
2018/2/10, 53, 6, 
2018/2/11, 29, 5, 
2018/2/12, 7, 9, 
2018/2/13, 12, 12, 
2018/2/14, 13, 8, 
2018/2/15, 18, 8, 
2018/2/16, 18, 11, 
2018/2/17, 15, 8, 
2018/2/18, 18, 12, 
2018/2/19, 21, 17, 
2018/2/20, 38, 16, 
2018/2/21, 32, 15, 
2018/2/22, 25, 9, 
2018/2/23, 17, 6, 
2018/2/24, 10, 5, 
2018/2/25, 6, 5, 
2018/2/26, 6, 7, 
2018/2/27, 8, 8, 
2018/2/28, 13, 8, 
2018/3/1, 15, 8, 
2018/3/2, 16, 8, 
2018/3/3, 27, 7, 
2018/3/4, 38, 10, 
2018/3/5, 40, 16, 
2018/3/6, 26, 23, 
2018/3/7, 52, 10, 
2018/3/8, 44, 8, 
2018/3/9, 10, 13, 
2018/3/10, 18, 7, 
2018/3/11, 17, 13, 
2018/3/12, 7, 8, 
2018/3/13, 13, 6, 
2018/3/14, 5, 4, 
2018/3/15, 8, , 
2018/3/21, 12, 4, 
2018/3/22, 16, 4, 
2018/3/23, 5, 7, 
2018/3/24, 14, 7, 
2018/3/25, 17, 8, 
2018/3/26, 21, 7, 
2018/3/27, 10, 6, 
2018/3/28, 11, 8, 
2018/3/29, 12, 9, 
2018/3/30, 12, 8, 
2018/3/31, 12, 4, 
2017/12/26, 5, 4, 
2017/12/27, 5, 3, 
2017/12/28, 7, 4, 1
2017/12/29, 8, 3, 1
2017/12/30, 7, , 
2017/7/1, 7, 1, 
2017/7/2, 11, 2, 
2017/7/3, 9, 2, 
2017/7/4, 10, 3, 
2017/7/5, 7, 3, 1
2017/7/6, 6, 8, 
2017/7/7, 14, 2, 
2017/7/8, 23, 3, 1
2017/7/9, 7, 11, 
2017/7/10, 12, 4, 
2017/7/11, 18, 3, 
2017/7/12, 10, 2, 1
2017/7/13, 8, , 
2017/4/1, 18, 5, 
2017/4/2, 20, 5, 
2017/4/3, 9, 8, 
2017/4/4, 9, 8, 
2017/4/5, 17, 3, 
2017/4/6, 13, 3, 
2017/4/7, 12, 3, 
2017/4/8, 8, 5, 
2017/4/9, 8, 5, 
2017/4/10, 20, 3, 
2017/4/11, 11, 3, 
2017/4/12, 11, 2, 
2017/4/13, 8, 2, 
2017/4/14, 8, 3, 
2017/4/15, 10, 2, 
2017/4/16, 15, 2, 
2017/4/17, 13, 3, 
2017/4/18, 7, 7, 
2017/4/19, 9, 14, 
2017/4/20, 18, 5, 
2017/4/21, 23, 1, 
2017/4/22, 11, 1, 
2017/4/23, 7, 4, 
2017/4/24, 8, 3, 
2017/4/25, 7, 4, 
2017/4/26, 6, 10, 
2017/4/27, 9, 5, 
2017/4/28, 11, 4, 
2017/4/29, 8, 8, 
2017/4/30, 8, 2, 
2017/5/1, 11, 4, 
2017/5/2, 12, 5, 
2017/5/3, 14, 4, 
2017/5/4, 10, 5, 1
2017/5/5, 7, 9, 
2017/5/6, 11, 6, 
2017/5/7, 12, 3, 
2017/5/8, 8, 11, 
2017/5/9, 9, 2, 
2017/5/10, 10, 6, 
2017/5/11, 9, 10, 
2017/5/12, 15, 7, 
2017/5/13, 21, 3, 
2017/5/14, 9, 4, 1
2017/5/15, 10, 8, 1
2017/5/16, 9, 6, 1
2017/5/17, 15, 6, 
2017/5/18, 13, 6, 
2017/5/19, 17, 3, 
2017/5/20, 12, 4, 1
2017/5/21, 10, 6, 
2017/5/22, 8, 8, 1
2017/5/23, 13, 2, 
2017/5/24, 13, 2, 
2017/5/25, 10, 3, 
2017/5/26, 9, 4, 
