date, pm25, pm10, o3, no2, co
2018/2/20, 25, 30, 19, 19, 
2018/2/21, 88, 23, 19, 23, 
2018/2/22, 69, 22, 19, 23, 
2018/2/23, 65, 26, 21, 21, 
2018/2/24, 74, 15, 23, 17, 
2018/2/25, 41, 8, 24, 15, 
2018/2/26, 23, 10, 26, 21, 3
2018/2/27, 29, 16, 25, 19, 3
2018/2/28, 53, 34, 20, 16, 4
2018/3/1, 85, 36, 19, 20, 5
2018/3/2, 100, 52, 13, 24, 6
2018/3/3, 140, 19, 27, 14, 5
2018/3/4, 45, 11, 25, 14, 4
2018/3/5, 30, 7, 25, 14, 
2018/3/6, 27, 13, 23, 19, 
2018/3/7, 42, 3, 29, 10, 
2018/3/8, 9, , 14, 22, 
2018/3/14, 44, 7, 32, 11, 
2018/3/15, 17, 12, 30, 14, 
2018/3/16, 27, 13, 26, 10, 
2018/3/17, 40, 20, 25, 9, 
2018/3/18, 59, 15, 34, 10, 
2018/3/19, 40, 12, 31, 16, 
2018/3/20, 25, 18, 25, 20, 
2018/3/21, 51, 13, 32, 11, 
2018/3/22, 29, 12, 33, 8, 
2018/3/23, 23, 17, 16, 19, 
2018/3/24, 62, 27, 27, 16, 
2018/3/25, 77, 11, 31, 15, 
2018/3/26, 30, 5, 29, 11, 
2018/3/27, 19, 6, 28, 15, 
2018/3/28, 17, 6, 29, 14, 
2018/3/29, 14, 6, 24, 17, 
2018/3/30, 24, 4, 22, 9, 
2018/3/31, 22, 6, 30, 8, 
2017/10/1, 13, 14, 23, 8, 
2017/10/2, 37, 9, 21, 15, 
2017/10/3, 24, 8, 23, 11, 
2017/10/4, 25, 6, 23, 10, 
2017/10/5, 20, 7, 21, 14, 
2017/10/6, 22, 6, 18, 9, 
2017/10/7, 20, 9, 18, 15, 
2017/10/8, 33, 8, 14, 16, 
2017/10/9, 33, 5, 17, 9, 
2017/10/10, 18, 6, 21, 6, 
2017/10/11, 14, 9, 18, 11, 
2017/10/12, 19, 8, 17, 6, 
2017/10/13, 21, 12, 16, 7, 
2017/10/14, 34, 23, 26, 10, 
2017/10/15, 68, 24, 26, 9, 
2017/10/16, 56, 16, 22, 15, 
2017/10/17, 35, 32, 8, 19, 
2017/10/18, 61, 23, 20, 11, 
2017/10/19, 56, 9, 22, 8, 
2017/10/20, 18, 12, 25, 4, 
2017/10/21, 24, 7, 24, 8, 
2017/10/22, 19, 5, 17, 11, 
2017/10/23, 17, 5, 20, 6, 
2017/10/24, 15, 11, 21, 15, 
2017/10/25, 32, 16, 5, 18, 
2017/10/26, 51, 14, 17, 17, 
2017/10/27, 43, 12, 15, 12, 
2017/10/28, 32, 9, 23, 10, 
2017/10/29, 22, 16, 13, 24, 
2017/10/30, 44, 14, 16, 18, 
2017/10/31, 38, 18, 12, 23, 
2017/11/1, 52, 22, 6, 22, 
2017/11/2, 66, 37, 1, 24, 
2017/11/3, 105, 26, 13, 17, 
2017/11/4, 72, 18, 19, 12, 
