date, pm25, o3, co
2017/12/20, 47, 22, 
2017/12/21, 43, 24, 
2017/12/22, 47, 24, 
2017/12/23, 24, 20, 
2017/12/24, 38, 22, 
2017/12/25, 24, 24, 
2017/12/26, 30, 23, 
2017/12/27, 31, 21, 
2017/12/28, 29, 21, 
2017/12/29, 33, 21, 
2017/12/30, 37, 21, 
2017/12/31, 25, 22, 
2017/7/1, 24, 22, 
2017/7/2, 13, 13, 
2017/7/3, 15, 18, 
2017/7/4, 14, 22, 
2017/7/5, 20, 36, 
2017/7/6, 39, 29, 
2017/7/7, 30, 21, 
2017/7/8, 27, 17, 
2017/7/9, 22, 23, 
2017/7/10, 21, 27, 
2017/7/11, 38, 30, 
2017/7/12, 16, 20, 
2017/7/13, 18, 20, 
2017/7/14, 18, 18, 
2017/7/15, 22, 18, 
2017/7/16, 30, 21, 
2017/7/17, 33, 29, 
2017/7/18, 34, 25, 
2017/7/19, 45, 20, 
2017/7/20, 33, 23, 
2017/7/21, 39, 16, 
2017/7/22, 15, 17, 
2017/7/23, 16, 15, 
2017/7/24, 26, 21, 
2017/7/25, 18, 22, 
2017/7/26, 25, 20, 
2017/7/27, 14, 14, 
2017/7/28, 12, 19, 
2017/7/29, 13, 18, 
2017/7/30, 17, 19, 
2017/7/31, 28, 19, 
2017/8/1, 19, 26, 
2017/8/2, 27, 30, 
2017/8/3, 36, 25, 
2017/8/4, 33, 20, 
2017/8/5, 11, 11, 
2017/8/6, 9, 13, 
2017/8/7, 9, 17, 
2017/8/8, 10, 16, 
2017/8/9, 15, 18, 
2017/8/10, 12, 27, 
2017/8/11, 35, 25, 
2017/8/12, 32, 19, 
2017/8/13, 31, 17, 
2017/8/14, 40, 24, 
2017/8/15, 39, 14, 
2017/8/16, 22, 14, 
2017/8/17, 18, 12, 
2017/8/18, 21, 14, 
2017/8/19, 19, 18, 
2017/8/20, 28, 30, 
2017/8/21, 52, 24, 
2017/8/22, 45, 19, 
2017/8/23, 16, 13, 
2017/8/24, 9, 16, 
2017/8/25, 9, 19, 
2017/8/26, 17, 20, 
2017/8/27, 25, 23, 
2017/8/28, 28, 22, 
2017/8/29, 38, 24, 
2017/8/30, 41, 18, 
2017/8/31, 25, 15, 
2017/9/1, 11, 19, 
2017/9/2, 15, 17, 
2017/9/3, 26, 15, 
2017/9/4, 17, 19, 
2017/9/5, 29, , 
2017/9/8, 16, 11, 
2017/9/9, 16, 13, 
2017/9/10, 18, 16, 
2017/9/11, 24, 23, 
2017/9/12, 31, 25, 
2017/9/13, 45, 20, 
2017/9/14, 50, 19, 
2017/9/15, 23, 18, 
2017/9/16, 39, 21, 
2017/9/17, 39, 18, 
2017/9/18, 30, 18, 
2017/9/19, 36, 18, 
2017/9/20, 36, 20, 
2017/9/21, 29, 24, 
2017/9/22, 38, 22, 
2017/9/23, 51, 24, 
2017/9/24, 52, 33, 
2017/9/25, 54, 32, 
2017/9/26, 57, 26, 
2017/9/27, 34, 19, 
2017/9/28, 14, 18, 
2017/9/29, 18, 17, 
2017/9/30, 20, 17, 
2017/4/1, 19, 28, 
2017/4/2, 27, 31, 
2017/4/3, 16, 29, 
2017/4/4, 21, 28, 
2017/4/5, 22, 23, 
2017/4/6, 17, 24, 
2017/4/7, 11, 24, 
2017/4/8, 15, 27, 
2017/4/9, 18, 37, 
2017/4/10, 31, 28, 
2017/4/11, 22, 24, 
2017/4/12, 18, 26, 
2017/4/13, 12, 27, 
2017/4/14, 15, 30, 
2017/4/15, 19, 29, 
2017/4/16, 17, 25, 
2017/4/17, 19, 25, 
2017/4/18, 19, 23, 
2017/4/19, 16, 21, 
2017/4/20, 18, 21, 
2017/4/21, 18, 20, 
2017/4/22, 20, 23, 
2017/4/23, 17, 26, 
2017/4/24, 18, 24, 
2017/4/25, 21, 22, 
2017/4/26, 22, 23, 
2017/4/27, 17, 27, 
2017/4/28, 21, 26, 
2017/4/29, 28, 26, 
2017/4/30, 15, 24, 
