date, pm25, pm10, o3, so2
2018/1/11, 12, 9, 23, 
2018/1/12, 9, 7, 24, 
2018/1/13, 13, 9, 20, 
2018/1/14, 13, 11, 27, 
2018/1/15, 20, 9, 27, 
2018/1/16, 12, 13, 24, 
2018/1/17, 18, 19, 21, 2
2018/1/18, 35, 11, 23, 1
2018/1/19, 14, 10, 24, 
2018/1/20, 19, 8, 28, 
2018/1/21, 17, 28, 28, 
2018/1/22, 31, 12, 30, 
2018/1/23, 9, 15, 30, 1
2018/1/24, 26, 15, 30, 1
2018/1/25, 22, 30, 31, 1
2018/1/26, 65, 15, 18, 1
2018/1/27, 30, 9, 29, 
2018/1/28, 17, 11, 26, 
2018/1/29, 19, 12, 24, 
2018/1/30, 19, 12, 32, 1
2018/1/31, 15, 15, 28, 1
2018/2/1, 22, 8, 25, 
2018/2/2, 8, 10, 20, 1
2018/2/3, 13, 11, 31, 1
2018/2/4, 23, 14, 19, 1
2018/2/5, 24, 15, 10, 
2018/2/6, 25, 5, 12, 
2018/2/7, 12, 11, 23, 
2018/2/8, 18, 10, 13, 2
2018/2/9, 23, 6, 8, 
2018/2/10, 16, 6, 15, 
2018/2/11, 11, 8, 21, 
2018/2/12, 15, 11, 17, 
2018/2/13, 20, 10, 1, 
2018/2/14, 19, 8, 21, 1
2018/2/15, 13, 9, 22, 1
2018/2/16, 17, 5, 18, 
2018/2/17, 12, 6, 15, 
2018/2/18, 15, 8, 24, 1
2018/2/19, 18, 11, 17, 1
2018/2/20, 25, 5, 28, 1
2018/2/21, 11, 3, 15, 
2018/2/22, 4, 88, 13, 
2018/2/23, 15, 7, 19, 
2018/2/24, 18, 5, 30, 
2018/2/25, 11, 8, 34, 
2018/2/26, 13, 9, 20, 1
2018/2/27, 14, 12, 22, 1
2018/2/28, 20, 9, 30, 1
2018/3/1, 20, 11, 36, 
2018/3/2, 19, 9, 39, 
2018/3/3, 14, 12, 36, 1
2018/3/4, 25, 14, 37, 1
