date, pm25, pm10, so2, co
2017/12/9, 22, 8, , 4
2017/12/10, 26, 9, 1, 5
2017/12/11, 25, 12, , 4
2017/12/12, 35, 13, , 4
2017/12/13, 30, 11, , 3
2017/12/14, 20, 11, , 4
2017/12/15, 22, 7, , 4
2017/12/16, 28, 12, , 5
2017/12/17, 23, 26, , 5
2017/12/18, 27, 3, , 5
2017/12/19, 21, 4, , 4
2017/12/20, 13, 6, , 4
2017/12/21, 19, 7, , 5
2017/12/22, 18, 6, , 4
2017/12/23, 19, 5, , 5
2017/12/24, 26, 5, , 4
2017/12/25, 18, 7, , 6
2017/12/26, 21, 7, , 5
2017/12/27, 25, 7, , 5
2017/12/28, 22, 3, , 5
2017/12/29, 18, 6, , 5
2017/12/30, 18, 9, , 5
2017/12/31, 26, 10, , 4
2017/7/1, 10, 8, , 3
2017/7/2, 10, 10, , 4
2017/7/3, 14, 17, , 3
2017/7/4, 17, 14, , 4
2017/7/5, 21, 6, , 4
2017/7/6, 11, 8, , 4
2017/7/7, 11, 5, , 4
2017/7/8, 13, 6, , 3
2017/7/9, 9, 8, , 4
2017/7/10, 9, 7, , 4
2017/7/11, 14, 7, , 4
2017/7/12, 12, 13, , 4
2017/7/13, 16, 10, , 4
2017/7/14, 11, 7, , 
2017/7/15, 15, 6, , 
2017/7/16, 13, 9, , 4
2017/7/17, 10, 9, , 4
2017/7/18, 11, 11, , 5
2017/7/19, 12, 16, , 4
2017/7/20, 17, 14, , 5
2017/7/21, 13, 12, , 4
2017/7/22, 12, 8, , 4
2017/7/23, 12, 8, , 5
2017/7/24, 11, 7, , 5
2017/7/25, 12, 13, , 5
2017/7/26, 11, 9, , 5
2017/7/27, 12, 11, , 6
2017/7/28, 15, 11, , 5
2017/7/29, 16, 7, , 5
2017/7/30, 8, 10, , 5
2017/7/31, 11, 7, , 5
2017/8/1, 19, 11, , 6
2017/8/2, 13, 6, , 5
2017/8/3, 12, 9, , 5
2017/8/4, 15, 15, , 5
2017/8/5, 13, 11, , 5
2017/8/6, 9, 9, , 5
2017/8/7, 10, 7, , 5
2017/8/8, 14, 6, , 5
2017/8/9, 9, 10, , 5
2017/8/10, 8, 11, , 5
2017/8/11, 11, 11, , 5
2017/8/12, 11, 9, , 
2017/8/13, 15, 9, , 6
2017/8/14, 12, 10, , 6
2017/8/15, 12, 9, , 6
2017/8/16, 11, 6, , 6
2017/8/17, 16, 6, , 5
2017/8/18, 8, 5, , 5
2017/8/19, 10, 7, , 6
2017/8/20, 7, 7, , 6
2017/8/21, 7, 11, , 6
2017/8/22, 11, 15, , 6
2017/8/23, 15, 14, , 6
2017/8/24, 21, 9, , 6
2017/8/25, 19, 8, , 5
2017/8/26, 15, 7, , 6
2017/8/27, 13, 4, , 6
2017/8/28, 13, 3, , 7
2017/8/29, 13, 8, , 6
2017/8/30, 13, 8, , 6
2017/8/31, 7, 5, , 7
2017/9/1, 5, 4, , 7
2017/9/2, 11, 6, , 7
2017/9/3, 9, 10, , 6
2017/9/4, 14, , , 7
2017/9/9, 11, 11, , 4
2017/9/10, 12, 14, , 5
2017/9/11, 14, 12, , 5
2017/9/12, 14, 11, , 4
2017/9/13, 18, 12, , 5
2017/9/14, 20, 7, , 5
2017/9/15, 11, 11, , 4
2017/9/16, 11, 14, , 
2017/9/17, 14, 17, , 4
2017/9/18, 19, 12, , 4
2017/9/19, 12, 14, , 4
2017/9/20, 15, 13, , 4
2017/9/21, 12, 9, , 4
2017/9/22, 10, 8, , 4
2017/9/23, 12, 6, , 4
2017/9/24, 11, 6, , 5
2017/9/25, 10, 5, , 4
2017/9/26, 7, 7, , 5
2017/9/27, 11, 3, , 5
2017/9/28, 15, 3, , 6
2017/9/29, 9, , , 5
2017/9/30, 24, , 2, 5
2017/4/2, 22, 20, , 
2017/4/3, 28, 14, , 7
2017/4/4, 20, 9, , 7
2017/4/5, 17, 11, , 7
2017/4/6, 17, 11, , 7
2017/4/7, 17, 12, , 7
2017/4/8, 16, 13, 1, 7
2017/4/9, 28, 14, , 7
2017/4/10, 27, 11, , 7
2017/4/11, 12, 9, , 8
2017/4/12, 18, 8, , 7
2017/4/13, 12, 8, , 8
2017/4/14, 15, 9, , 7
2017/4/15, 18, 5, , 7
2017/4/16, 15, 11, , 7
2017/4/17, 22, 16, , 8
2017/4/18, 29, 13, , 8
2017/4/19, 23, 10, , 8
2017/4/20, 16, 7, , 8
2017/4/21, 16, 10, , 7
2017/4/22, 14, 13, , 7
2017/4/23, 16, 14, , 7
2017/4/24, 22, 10, , 7
2017/4/25, 19, 11, , 8
2017/4/26, 12, 9, , 8
2017/4/27, 15, 9, 1, 8
2017/4/28, 16, 9, , 7
2017/4/29, 19, 5, , 8
2017/4/30, 12, 12, , 8
2017/5/1, 21, 16, , 8
2017/5/2, 24, 10, , 8
2017/5/3, 17, 8, , 8
2017/5/4, 15, 11, , 8
2017/5/5, 18, 14, , 7
2017/5/6, 19, 14, , 7
2017/5/7, 24, 10, 1, 8
2017/5/8, 18, 10, , 8
2017/5/9, 23, 13, , 8
2017/5/10, 20, 9, , 8
2017/5/11, 17, 14, , 8
2017/5/12, 21, 11, , 8
2017/5/13, 17, 15, , 8
2017/5/14, 19, 15, , 8
2017/5/15, 27, 16, , 8
2017/5/16, 20, 14, , 8
2017/5/17, 23, 9, , 9
2017/5/18, 14, 7, , 9
2017/5/19, 15, 7, , 9
2017/5/20, 15, 4, , 9
2017/5/21, 11, 8, 1, 8
2017/5/22, 16, 8, , 3
2017/5/23, 14, 9, , 2
2017/5/24, 17, 6, , 2
2017/5/25, 11, 7, , 3
2017/5/26, 15, 10, , 
2017/5/27, 17, 7, , 2
2017/5/28, 9, 7, , 
2017/5/29, 14, 10, , 
